county,city,totalcountconfirmed,totalcountdeaths
Los Angeles,Lakewood,743,7
Los Angeles,Lancaster,1659,23
Los Angeles,Lawndale,362,8
Los Angeles,Lomita,149,7
Los Angeles,Lynwood,1980,69
Los Angeles,Malibu,71,2
Los Angeles,Manhattan Beach,222,4
Los Angeles,Maywood,823,24
Los Angeles,Monrovia,437,31
Los Angeles,Montebello,1341,32
Los Angeles,Monterey Park,499,12
Los Angeles,Norwalk,1891,41
Los Angeles,Palmdale,1900,26
Los Angeles,Palos Verdes Estates,64,2
Los Angeles,Paramount,1396,15
Los Angeles,Pico Rivera,1465,48
Los Angeles,Pomona,2605,42
Los Angeles,Rancho Palos Verdes,194,12
Los Angeles,Redondo Beach,339,9
Los Angeles,Rolling Hills,4,0
Los Angeles,Rolling Hills Estates,30,2
Los Angeles,Rosemead,447,11
Los Angeles,San Dimas,288,2
Los Angeles,San Fernando,454,12
Los Angeles,San Gabriel,338,26
Los Angeles,San Marino,42,1
Los Angeles,Santa Clarita,1761,33
Los Angeles,Santa Fe Springs,307,2
Los Angeles,Santa Monica,547,35
Los Angeles,Sierra Madre,45,3
Los Angeles,Signal Hill,151,0
Los Angeles,South El Monte,440,12
Los Angeles,South Gate,2683,41
Los Angeles,South Pasadena,199,23
Los Angeles,Vernon,16,0
Los Angeles,Walnut,160,1
Los Angeles,West Covina,1704,21
Los Angeles,West Hollywood,373,4
Los Angeles,Westlake Village,17,0
Los Angeles,Whittier,1253,14
Riverside,County Jails,231,2
Riverside,State Prison,4967,1
Riverside,Banning,795,10
Riverside,Beaumont,914,12
Riverside,Blythe,17,3
Riverside,Calimesa,278,1
Riverside,Canyon Lake,149,0
Riverside,Cathedral City,293,15
Riverside,Coachella,1337,15
Riverside,Corona,1499,20
Riverside,Desert Hot Springs,1417,6
Riverside,Indio,98,46
Riverside,Jurupa Valley,108,30
Riverside,La Quinta,178,14
Riverside,Lake Elsinore,223,10
Riverside,Menifee,34,9
Riverside,Moreno Valley,445,41
Riverside,Murrieta,141,13
Riverside,Norco,56,2
Riverside,Palm Desert,469,34
Riverside,Palm Springs,689,19
Riverside,Perris,1337,20
Riverside,Rancho Mirage,523,12
Riverside,Riverside,40,142
Riverside,San Jacinto,196,8
Riverside,Temecula,26,1
Riverside,Wildomar,254,5
Riverside,Anza,795,0
Riverside,Bermuda Dunes,914,1
Riverside,Cabazon,17,1
Riverside,Cherry Valley,278,2
Riverside,Coronita,149,1
Riverside,Desert Edge,293,2
Riverside,Desert Palms,1337,2
Riverside,East Hemet,1499,2
Riverside,El Cerrito,1417,0
Riverside,Good Hope,98,1
Riverside,Green Acres,108,0
Riverside,Home Gardens,178,0
Riverside,Homeland,223,0
Riverside,Idyllwild-Pine Cove,34,0
Riverside,Lake Mathews,445,4
Riverside,Lakeland Village,141,1
Riverside,Lakeview,56,0
Riverside,Mead Valley,469,4
Riverside,Meadowbrook,689,0
Riverside,Mecca,1337,6
Riverside,North Shore,523,1
Riverside,Nuevo,40,1
Riverside,Oasis,196,1
Riverside,Romoland,26,1
Riverside,Sky Valley,254,0
Riverside,Temescal Valley,197,0
Riverside,Thousand Palms,5419,0
Riverside,Valle Vista,161,0
Riverside,Vista Santa Rosa,18,1
Riverside,Winchester,341,0
Riverside,Woodcrest,119,4
San Bernardino,Adelanto,231,5
San Bernardino,Angelus Oaks,4967,0
San Bernardino,Argus,795,0
San Bernardino,Arrowbear,914,0
San Bernardino,Baker,17,0
San Bernardino,Baldy Mesa,278,0
San Bernardino,Barstow,149,2
San Bernardino,Big Bear City,293,0
San Bernardino,Big Bear Lake,1337,0
San Bernardino,Big River,1499,0
San Bernardino,Bloomington,1417,5
San Bernardino,Chino,98,0
San Bernardino,Chino Hills,108,4
San Bernardino,Colton,178,20
San Bernardino,Crestline,223,2
San Bernardino,Crestmore,34,0
San Bernardino,Daggett,445,0
San Bernardino,Devore,141,0
San Bernardino,El Mirage,56,0
San Bernardino,Fawnskin,469,0
San Bernardino,Fontana,689,24
San Bernardino,Forest Falls,1337,0
San Bernardino,Fort Irwin,523,0
San Bernardino,Grand Terrace,40,6
San Bernardino,Green Valley Lake,196,0
San Bernardino,Havasu,26,0
San Bernardino,Helendale,254,0
San Bernardino,Hesperia,197,3
San Bernardino,Highland,5419,7
San Bernardino,Hinkley,161,0
San Bernardino,Johnson Valley,18,0
San Bernardino,Joshua Tree,341,2
San Bernardino,Lake Arrowhead,119,0
San Bernardino,Landers,656,0
San Bernardino,Lenwood,35,0
San Bernardino,Loma Linda,535,1
San Bernardino,Lucerne Valley,383,0
San Bernardino,Lytle Creek,817,0
San Bernardino,Mentone,229,2
San Bernardino,Montclair,743,8
San Bernardino,Morongo Valley,1659,0
San Bernardino,Mt Baldy,362,0
San Bernardino,Muscoy,149,0
San Bernardino,Needles,1980,0
San Bernardino,Newberry Springs,71,0
San Bernardino,Oak Glen,222,0
San Bernardino,Oak Hills,823,1
San Bernardino,Ontario,437,39
San Bernardino,Oro Grande,1341,0
San Bernardino,Phelan,499,0
San Bernardino,Piñon Hills,1891,0
San Bernardino,Pioneertown,1900,0
San Bernardino,Rancho Cucamonga,64,10
San Bernardino,Redlands,1396,52
San Bernardino,Rialto,1465,14
San Bernardino,Rimforest,2605,0
San Bernardino,Running Springs,194,0
San Bernardino,San Antonio Heights,339,0
San Bernardino,San Bernardino,4,28
San Bernardino,Spring Valley Lake,30,0
San Bernardino,Sugarloaf,447,0
San Bernardino,Trona,288,0
San Bernardino,Twentynine Palms,454,0
San Bernardino,TN Palms Marine Base,338,0
San Bernardino,Twin Peaks,42,0
San Bernardino,Upland,1761,14
San Bernardino,Valley of Enchantment,307,0
San Bernardino,Victorville,547,8
San Bernardino,Wonder Valley,45,0
San Bernardino,Wrightwood,151,0
San Bernardino,Yermo,440,0
San Bernardino,Yucaipa,2683,26
San Bernardino,Yucca Valley,199,1
Santa Barbara,"South County Unincorp Areas: Montecito, Summerland communities and Carpinteria",4967,0
Santa Barbara,Goleta,795,2
Santa Barbara,Isla Vista (community),914,0
Santa Barbara,"Unincorporated Areas: Goleta Valley, Gaviota",17,1
Santa Barbara,"Santa Ynez Valley (w Solvang & Buellton, and Santa Ynez, Los Alamos, Los Olivos and Ballard communities",278,0
Santa Barbara,Lompoc (w Mission Hills and Vandenberg Village),149,4
Santa Barbara,Federal Prison in Lompoc,293,3
Santa Barbara,Santa Maria,1337,18
Santa Barbara, Orcutt (community),1499,0
Santa Barbara,"Unincorporated Areas: Sisquoc, Casmalia, Garey, Cuyama, New Cuyama communities and Guadalupe",1417,0
