county,city,totalcountconfirmed,totalcountdeaths
Riverside,Mecca,1355,6
Riverside,North Shore,525,1
Riverside,Nuevo,40,1
Riverside,Oasis,203,1
Riverside,Romoland,26,1
Riverside,Sky Valley,257,0
Riverside,Temescal Valley,208,0
Riverside,Thousand Palms,5520,0
Riverside,Valle Vista,163,0
Riverside,Vista Santa Rosa,37,1
Riverside,Winchester,345,0
Riverside,Woodcrest,122,4
San Bernardino,Adelanto,231,5
San Bernardino,Angelus Oaks,5047,0
San Bernardino,Argus,808,0
San Bernardino,Arrowbear,931,0
San Bernardino,Baker,17,0
San Bernardino,Baldy Mesa,281,0
San Bernardino,Barstow,153,2
San Bernardino,Big Bear City,296,0
San Bernardino,Big Bear Lake,1364,0
San Bernardino,Big River,1524,0
San Bernardino,Bloomington,1433,5
San Bernardino,Chino,99,0
San Bernardino,Chino Hills,112,4
San Bernardino,Colton,182,20
San Bernardino,Crestline,226,2
San Bernardino,Crestmore,34,0
San Bernardino,Daggett,460,0
San Bernardino,Devore,142,0
San Bernardino,El Mirage,57,0
San Bernardino,Fawnskin,480,0
San Bernardino,Fontana,708,24
San Bernardino,Forest Falls,1355,0
San Bernardino,Fort Irwin,525,0
San Bernardino,Grand Terrace,40,6
San Bernardino,Green Valley Lake,203,0
San Bernardino,Havasu,26,0
San Bernardino,Helendale,257,0
San Bernardino,Hesperia,208,3
San Bernardino,Highland,5520,7
San Bernardino,Hinkley,163,0
San Bernardino,Johnson Valley,37,0
San Bernardino,Joshua Tree,345,2
San Bernardino,Lake Arrowhead,122,0
San Bernardino,Landers,670,0
San Bernardino,Lenwood,35,0
San Bernardino,Loma Linda,540,1
San Bernardino,Lucerne Valley,394,0
San Bernardino,Lytle Creek,817,0
San Bernardino,Mentone,229,2
San Bernardino,Montclair,743,8
San Bernardino,Morongo Valley,1659,0
San Bernardino,Mt Baldy,362,0
San Bernardino,Muscoy,149,0
San Bernardino,Needles,1980,0
San Bernardino,Newberry Springs,71,0
San Bernardino,Oak Glen,222,0
San Bernardino,Oak Hills,823,1
San Bernardino,Ontario,437,39
San Bernardino,Oro Grande,1341,0
San Bernardino,Phelan,499,0
San Bernardino,Piñon Hills,1891,0
San Bernardino,Pioneertown,1900,0
San Bernardino,Rancho Cucamonga,64,10
San Bernardino,Redlands,1396,52
San Bernardino,Rialto,1465,14
San Bernardino,Rimforest,2605,0
San Bernardino,Running Springs,194,0
San Bernardino,San Antonio Heights,339,0
San Bernardino,San Bernardino,4,28
San Bernardino,Spring Valley Lake,30,0
San Bernardino,Sugarloaf,447,0
San Bernardino,Trona,288,0
San Bernardino,Twentynine Palms,454,0
San Bernardino,TN Palms Marine Base,338,0
San Bernardino,Twin Peaks,42,0
San Bernardino,Upland,1761,14
San Bernardino,Valley of Enchantment,307,0
San Bernardino,Victorville,547,8
San Bernardino,Wonder Valley,45,0
San Bernardino,Wrightwood,151,0
San Bernardino,Yermo,440,0
San Bernardino,Yucaipa,2683,26
San Bernardino,Yucca Valley,199,1
Santa Barbara,"South County Unincorp Areas: Montecito, Summerland communities and Carpinteria",5047,0
Santa Barbara,Goleta,808,2
Santa Barbara,Isla Vista (community),931,0
Santa Barbara,"Unincorporated Areas: Goleta Valley, Gaviota",17,1
Santa Barbara,"Santa Ynez Valley (w Solvang & Buellton, and Santa Ynez, Los Alamos, Los Olivos and Ballard communities",281,0
Santa Barbara,Lompoc (w Mission Hills and Vandenberg Village),153,4
Santa Barbara,Federal Prison in Lompoc,296,3
Santa Barbara,Santa Maria,1364,18
Santa Barbara, Orcutt (community),1524,0
Santa Barbara,"Unincorporated Areas: Sisquoc, Casmalia, Garey, Cuyama, New Cuyama communities and Guadalupe",1433,0
